Date,Open,High,Low,Close,Adj Close,Volume
1/21/20,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000
1/22/20,3330.02002,3337.77002,3320.040039,3321.75,3321.75,3619850000
1/23/20,3315.77002,3326.879883,3301.870117,3325.540039,3325.540039,3764860000
1/24/20,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000
1/27/20,3247.159912,3258.850098,3234.5,3243.629883,3243.629883,3823100000
1/28/20,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999,3526720000
1/29/20,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000
1/30/20,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
1/31/20,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000
2/3/20,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
2/4/20,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
2/5/20,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000
2/6/20,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000
2/7/20,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3730650000
2/10/20,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3450350000
2/11/20,3365.870117,3375.629883,3352.719971,3357.75,3357.75,3760550000
2/12/20,3370.5,3381.469971,3369.719971,3379.449951,3379.449951,3926380000
2/13/20,3365.899902,3385.090088,3360.52002,3373.939941,3373.939941,3498240000
2/14/20,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3398040000
2/18/20,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000
2/19/20,3380.389893,3393.52002,3378.830078,3386.149902,3386.149902,3600150000
2/20/20,3380.449951,3389.149902,3341.02002,3373.22998,3373.22998,4007320000
2/21/20,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000
2/24/20,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000
2/25/20,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000
2/26/20,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000
2/27/20,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000
2/28/20,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000
3/2/20,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000
3/3/20,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6355940000
3/4/20,3045.75,3130.969971,3034.379883,3130.120117,3130.120117,5035480000
3/5/20,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000
3/6/20,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6552140000
3/9/20,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
3/10/20,2813.47998,2882.590088,2734,2882.22998,2882.22998,7635960000
